! Definitions,Experiment name,Dome name for field overlay (regional management assumptions),Dome name for seasonal strategy (multi-year or management regimens),,,,,,,,,! Soil Types used for Field overlay DOME,,,,,,
! Units,,Copy name(s) from field overlay file,Copy name(s) from seasonal strategy file,,,,,,,,,!,!Soil #,!Soil_ID,!Field Overlay name,!,!,
#,EXNAME,FIELD_OVERLAY,SEASONAL_STRATEGY,,!,!EXNAME,!WST_ID,!SOIL_ID,!Soil #,!Stratum,,!,2,ITSN840042,NIORO---A1---Soil2_A1,,,
*,NIORO063,NIORO---A1---Soil1_A1,NIORO-2--A1--0XFX-CURRENT,,!,NIORO063,NGAY,ITSN840080,1,2,,,,,,,,
*,NIORO064,NIORO---A1---Soil1_A1,NIORO-1--A1--0XFX-CURRENT,,!,NIORO064,NGAY,ITSN840080,1,1,,,,,,,,
*,NIORO065,NIORO---A1---Soil1_A1,NIORO-6--A1--0XFX-CURRENT,,!,NIORO065,NGAY,ITSN840080,1,6,,,,,,,,
*,NIORO066,NIORO---A1---Soil4_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO066,PAOS,ITSN840067,4,4,,,,,,,,
*,NIORO067,NIORO---A1---Soil4_A1,NIORO-5--A1--0XFX-CURRENT,,!,NIORO067,PAOS,ITSN840067,4,5,,,,,,,,
*,NIORO068,NIORO---A1---Soil4_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO068,PAOS,ITSN840067,4,4,,,,,,,,
*,NIORO069,NIORO---A1---Soil4_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO069,PAOS,ITSN840067,4,4,,,,,,,,
*,NIORO070,NIORO---A1---Soil4_A1,NIORO-1--A1--0XFX-CURRENT,,!,NIORO070,PAOS,ITSN840067,4,1,,,,,,,,
*,NIORO071,NIORO---A1---Soil4_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO071,PAOS,ITSN840067,4,4,,,,,,,,
*,NIORO072,NIORO---A1---Soil4_A1,NIORO-5--A1--0XFX-CURRENT,,!,NIORO072,PORO,ITSN840067,4,5,,,,,,,,
*,NIORO073,NIORO---A1---Soil4_A1,NIORO-5--A1--0XFX-CURRENT,,!,NIORO073,PORO,ITSN840067,4,5,,,,,,,,
*,NIORO074,NIORO---A1---Soil4_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO074,PORO,ITSN840067,4,4,,,,,,,,
*,NIORO075,NIORO---A1---Soil4_A1,NIORO-3--A1--0XFX-CURRENT,,!,NIORO075,PORO,ITSN840067,4,3,,,,,,,,
*,NIORO076,NIORO---A1---Soil4_A1,NIORO-5--A1--0XFX-CURRENT,,!,NIORO076,PORO,ITSN840067,4,5,,,,,,,,
*,NIORO077,NIORO---A1---Soil4_A1,NIORO-3--A1--0XFX-CURRENT,,!,NIORO077,PORO,ITSN840067,4,3,,,,,,,,
*,NIORO078,NIORO---A1---Soil4_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO078,PORO,ITSN840067,4,4,,,,,,,,
*,NIORO079,NIORO---A1---Soil4_A1,NIORO-3--A1--0XFX-CURRENT,,!,NIORO079,PORO,ITSN840067,4,3,,,,,,,,
*,NIORO080,NIORO---A1---Soil4_A1,NIORO-3--A1--0XFX-CURRENT,,!,NIORO080,PORO,ITSN840067,4,3,,,,,,,,
*,NIORO081,NIORO---A1---Soil4_A1,NIORO-3--A1--0XFX-CURRENT,,!,NIORO081,PORO,ITSN840067,4,3,,,,,,,,
*,NIORO082,NIORO---A1---Soil4_A1,NIORO-2--A1--0XFX-CURRENT,,!,NIORO082,PORO,ITSN840067,4,2,,,,,,,,
*,NIORO083,NIORO---A1---Soil4_A1,NIORO-3--A1--0XFX-CURRENT,,!,NIORO083,PORO,ITSN840067,4,3,,,,,,,,
*,NIORO084,NIORO---A1---Soil4_A1,NIORO-7--A1--0XFX-CURRENT,,!,NIORO084,PORO,ITSN840067,4,7,,,,,,,,
*,NIORO085,NIORO---A1---Soil4_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO085,PORO,ITSN840067,4,4,,,,,,,,
*,NIORO086,NIORO---A1---Soil4_A1,NIORO-6--A1--0XFX-CURRENT,,!,NIORO086,PORO,ITSN840067,4,6,,,,,,,,
*,NIORO087,NIORO---A1---Soil4_A1,NIORO-6--A1--0XFX-CURRENT,,!,NIORO087,PORO,ITSN840067,4,6,,,,,,,,
*,NIORO088,NIORO---A1---Soil4_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO088,PORO,ITSN840067,4,4,,,,,,,,
*,NIORO089,NIORO---A1---Soil4_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO089,PORO,ITSN840067,4,4,,,,,,,,
*,NIORO090,NIORO---A1---Soil4_A1,NIORO-2--A1--0XFX-CURRENT,,!,NIORO090,PORO,ITSN840067,4,2,,,,,,,,
*,NIORO091,NIORO---A1---Soil4_A1,NIORO-3--A1--0XFX-CURRENT,,!,NIORO091,PORO,ITSN840067,4,3,,,,,,,,
*,NIORO092,NIORO---A1---Soil4_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO092,PORO,ITSN840067,4,4,,,,,,,,
*,NIORO093,NIORO---A1---Soil4_A1,NIORO-6--A1--0XFX-CURRENT,,!,NIORO093,PORO,ITSN840067,4,6,,,,,,,,
*,NIORO094,NIORO---A1---Soil4_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO094,PORO,ITSN840067,4,4,,,,,,,,
*,NIORO095,NIORO---A1---Soil4_A1,NIORO-5--A1--0XFX-CURRENT,,!,NIORO095,PORO,ITSN840067,4,5,,,,,,,,
*,NIORO096,NIORO---A1---Soil4_A1,NIORO-2--A1--0XFX-CURRENT,,!,NIORO096,PORO,ITSN840067,4,2,,,,,,,,
*,NIORO097,NIORO---A1---Soil4_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO097,PORO,ITSN840067,4,4,,,,,,,,
*,NIORO098,NIORO---A1---Soil4_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO098,PORO,ITSN840067,4,4,,,,,,,,
*,NIORO099,NIORO---A1---Soil4_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO099,PORO,ITSN840067,4,4,,,,,,,,
*,NIORO100,NIORO---A1---Soil4_A1,NIORO-5--A1--0XFX-CURRENT,,!,NIORO100,PORO,ITSN840067,4,5,,,,,,,,
